type,latitude,longitude,tw,fullAddressRu,fullAddressUa,fullAddressEn,placeRu,placeUa,cityRU,cityUA,cityEN
TSO,35.138599,47.842981,"{'mon': '08:00 - 22:00', 'tue': '08:00 - 22:00', 'wed': '08:00 - 22:00', 'thu': '08:00 - 22:00', 'fri': '08:00 - 22:00', 'sat': '08:00 - 22:00', 'sun': '08:00 - 22:00', 'hol': '08:00 - 22:00'}","Украина,область Запорожская,город Запорожье,улица Независимой Украины,дом 57В","Україна,область Запорізька,місто Запоріжжя,вулиця Незалежної України,будинок 57В","Ukraine,region Zaporizka,city Zaporizhzhia,street Nezalezhnoi Ukrainy,building 57V",Супермаркет Варус,Супермаркет Варус,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.199730,47.830418,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Моторостроителей,дом 64","Україна,область Запорізька,місто Запоріжжя,проспект Моторобудівників,будинок 64","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Motorobudivnykiv,building 64",Отделение банка,Відділення банку,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.108389,47.860612,"{'mon': '08:30 - 17:30', 'tue': '08:30 - 17:30', 'wed': '08:30 - 17:30', 'thu': '08:30 - 17:30', 'fri': '08:30 - 17:30', 'sat': '09:00 - 13:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Металлургов,дом 3","Україна,область Запорізька,місто Запоріжжя,проспект Металургів,будинок 3","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Metalurhiv,building 3",Отделение банка,Відділення банку,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.129553,47.841372,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,улица Леонида Жаботинского,дом 39","Україна,область Запорізька,місто Запоріжжя,вулиця Леоніда Жаботинського,будинок 39","Ukraine,region Zaporizka,city Zaporizhzhia,street Leonida Zhabotinskogo,building 39",Отделение банка,Відділення банку,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.150070,47.894920,"{'mon': '08:00 - 17:00', 'tue': '08:00 - 17:00', 'wed': '08:00 - 17:00', 'thu': '08:00 - 17:00', 'fri': '08:00 - 17:00', 'sat': '08:00 - 15:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,улица Лизы Чайкиной,дом 57","Україна,область Запорізька,місто Запоріжжя,вулиця Лізи Чайкіної,будинок 57","Ukraine,region Zaporizka,city Zaporizhzhia,street Lizy Chaikinoi,building 57",Отделение банка,Отделение банка,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.227190,47.834070,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,улица Производственная,дом 11","Україна,область Запорізька,місто Запоріжжя,вулиця Виробнича,будинок 11","Ukraine,region Zaporizka,city Zaporizhzhia,street Vyrobnycha,building 11",Отделение банка,Отделение банка,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.185150,47.809872,"{'mon': '08:30 - 17:30', 'tue': '08:30 - 17:30', 'wed': '08:30 - 17:30', 'thu': '08:30 - 17:30', 'fri': '08:30 - 17:30', 'sat': '08:30 - 14:30', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 38","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 38","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 38",Отделение банка,Відділення банку,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.134994,47.841529,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '09:00 - 16:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 176","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 176","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 176",Отделение банка,Відділення банку,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.003358,47.833394,"{'mon': '09:00 - 21:00', 'tue': '09:00 - 21:00', 'wed': '09:00 - 21:00', 'thu': '09:00 - 21:00', 'fri': '09:00 - 21:00', 'sat': '09:00 - 21:00', 'sun': '09:00 - 21:00', 'hol': '09:00 - 21:00'}","Украина,область Запорожская,город Запорожье,шоссе Никопольское,дом 1","Україна,область Запорізька,місто Запоріжжя,шосе Нікопольске,будинок 1","Ukraine,region Zaporizka,city Zaporizhzhia,highway Nikopolske,building 1",Cеть фитнес-клубов Fit Haus,Мережа фітнес-клубів Fit Haus,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.103269,47.856755,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 17:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Металлургов,дом 17","Україна,область Запорізька,місто Запоріжжя,проспект Металургів,будинок 17","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Metalurhiv,building 17",СК Уника,СК Уніка,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.180120,47.813642,"{'mon': '08:00 - 20:00', 'tue': '08:00 - 20:00', 'wed': '08:00 - 20:00', 'thu': '08:00 - 20:00', 'fri': '08:00 - 20:00', 'sat': '08:00 - 20:00', 'sun': '08:00 - 20:00', 'hol': '08:00 - 20:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 43","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 43","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 43",Магазин Украиночка,Магазин Украиночка,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.123643,47.841795,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '09:00 - 15:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Маяковского,дом 10","Україна,область Запорізька,місто Запоріжжя,проспект Маяковського,будинок 10","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Maiakovskoho,building 10",Нотариус,Нотаріус,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.138599,47.842981,"{'mon': '07:00 - 23:00', 'tue': '07:00 - 23:00', 'wed': '07:00 - 23:00', 'thu': '07:00 - 23:00', 'fri': '07:00 - 23:00', 'sat': '07:00 - 23:00', 'sun': '07:00 - 23:00', 'hol': '07:00 - 23:00'}","Украина,область Запорожская,город Запорожье,улица Независимой Украины,дом 57В","Україна,область Запорізька,місто Запоріжжя,вулиця Незалежної України,будинок 57В","Ukraine,region Zaporizka,city Zaporizhzhia,street Nezalezhnoi Ukrainy,building 57V",Супермаркет Варус,Супермаркет Варус,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.043091,47.808807,"{'mon': '08:00 - 20:00', 'tue': '08:00 - 21:00', 'wed': '08:00 - 21:00', 'thu': '08:00 - 21:00', 'fri': '08:00 - 21:00', 'sat': '08:00 - 21:00', 'sun': '08:00 - 21:00', 'hol': '08:00 - 21:00'}","Украина,область Запорожская,город Запорожье,улица Энтузиастов,дом 17","Україна,область Запорізька,місто Запоріжжя,вулиця Ентузіастів,будинок 17","Ukraine,region Zaporizka,city Zaporizhzhia,street Entuziastiv,building 17",Супермаркет Торро,Супермаркет Торро,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.024558,47.825930,"{'mon': '08:00 - 21:00', 'tue': '08:00 - 21:00', 'wed': '08:00 - 21:00', 'thu': '08:00 - 21:00', 'fri': '08:00 - 21:00', 'sat': '08:00 - 21:00', 'sun': '08:00 - 21:00', 'hol': '08:00 - 21:00'}","Украина,область Запорожская,город Запорожье,шоссе Хортицкое,дом 10а","Україна,область Запорізька,місто Запоріжжя,шосе Хортицьке,будинок 10а","Ukraine,region Zaporizka,city Zaporizhzhia,highway Khortytske,building 10a",Торговый Центр Бридж,Торговий Центр Бридж,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.145588,47.847014,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '09:00 - 15:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,улица Брянская,дом 6","Україна,область Запорізька,місто Запоріжжя,вулиця Брянська,будинок 6","Ukraine,region Zaporizka,city Zaporizhzhia,street Brianska,building 6","ИП ""АИС-ЗАПОРОЖЬЕ""","ІП ""АІС-ЗАПОРІЖЖЯ""",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.128386,47.840495,"{'mon': '09:00 - 21:00', 'tue': '09:00 - 21:00', 'wed': '09:00 - 21:00', 'thu': '09:00 - 21:00', 'fri': '09:00 - 21:00', 'sat': '09:00 - 21:00', 'sun': '09:00 - 21:00', 'hol': '09:00 - 21:00'}","Украина,область Запорожская,город Запорожье,улица Лермонтова,дом 9а","Україна,область Запорізька,місто Запоріжжя,вулиця Лермонтова,будинок 9а","Ukraine,region Zaporizka,city Zaporizhzhia,street Lermontova,building 9a",Cеть фитнес-клубов Fit Haus,Cеть фитнес-клубов Fit Haus,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.116222,47.862673,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '09:00 - 18:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,шоссе Южное,дом 8","Україна,область Запорізька,місто Запоріжжя,шосе Південне,будинок 8","Ukraine,region Zaporizka,city Zaporizhzhia,highway Pivdenne,building 8",Автосалон,Автосалон,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.186156,47.812656,"{'mon': '00:00 - 00:00', 'tue': '09:00 - 17:00', 'wed': '09:00 - 17:00', 'thu': '09:00 - 17:00', 'fri': '09:00 - 17:00', 'sat': '09:00 - 17:00', 'sun': '09:00 - 17:00', 'hol': '09:00 - 17:00'}","Украина,область Запорожская,город Запорожье,улица Гоголя,дом 41","Україна,область Запорізька,місто Запоріжжя,вулиця Гоголя,будинок 41","Ukraine,region Zaporizka,city Zaporizhzhia,street Hoholia,building 41","Магазин ""АT""","Магазин ""АT""",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.161066,47.823437,"{'mon': '08:00 - 21:00', 'tue': '08:00 - 21:00', 'wed': '08:00 - 21:00', 'thu': '08:00 - 21:00', 'fri': '08:00 - 21:00', 'sat': '08:00 - 21:00', 'sun': '08:00 - 21:00', 'hol': '08:00 - 21:00'}","Украина,область Запорожская,город Запорожье,улица Запорожская,дом 9б","Україна,область Запорізька,місто Запоріжжя,вулиця Запорізька,будинок 9б","Ukraine,region Zaporizka,city Zaporizhzhia,street Zaporizka,building 9b",Магазин Гуливер,Магазин Гулівер,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.142533,47.837741,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 158","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 158","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 158",Отделение банка,Відділення банку,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.125461,47.846157,"{'mon': '08:00 - 22:00', 'tue': '08:00 - 22:00', 'wed': '08:00 - 22:00', 'thu': '08:00 - 22:00', 'fri': '08:00 - 22:00', 'sat': '08:00 - 22:00', 'sun': '08:00 - 22:00', 'hol': '08:00 - 22:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 153","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 153","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 153",Торговый Центр  НАДИЯ,Торговый Центр  НАДІЯ,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.198459,47.848954,"{'mon': '08:00 - 22:00', 'tue': '08:00 - 22:00', 'wed': '08:00 - 22:00', 'thu': '08:00 - 22:00', 'fri': '08:00 - 22:00', 'sat': '08:00 - 22:00', 'sun': '08:00 - 22:00', 'hol': '08:00 - 22:00'}","Украина,область Запорожская,город Запорожье,улица Куйбышева,дом 159в","Україна,область Запорізька,місто Запоріжжя,вулиця Куйбишева,будинок 159в","Ukraine,region Zaporizka,city Zaporizhzhia,street Kuibysheva,building 159v","Магазин ""Продукты""","Магазин ""Продукты""",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.039632,47.830842,"{'mon': '07:30 - 21:30', 'tue': '07:30 - 21:30', 'wed': '07:30 - 21:30', 'thu': '07:30 - 21:30', 'fri': '07:30 - 21:30', 'sat': '07:30 - 21:30', 'sun': '07:30 - 21:30', 'hol': '07:30 - 21:30'}","Украина,область Запорожская,город Запорожье,улица Воронежская,дом 10","Україна,область Запорізька,місто Запоріжжя,вулиця Воронезька,будинок 10","Ukraine,region Zaporizka,city Zaporizhzhia,street Voronezka,building 10",Торговый Центр Бридж,Торгівельний Центр Бридж,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.144879,47.830697,"{'mon': '00:00 - 23:59', 'tue': '00:00 - 23:59', 'wed': '00:00 - 23:59', 'thu': '00:00 - 23:59', 'fri': '00:00 - 23:59', 'sat': '00:00 - 23:59', 'sun': '00:00 - 23:59', 'hol': '00:00 - 23:59'}","Украина,область Запорожская,город Запорожье,улица Победы,дом 80","Україна,область Запорізька,місто Запоріжжя,вулиця Перемоги,будинок 80","Ukraine,region Zaporizka,city Zaporizhzhia,street Peremohy,building 80",5я Городская Больница,5а Міська лікарня,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.167696,47.823686,"{'mon': '07:00 - 23:00', 'tue': '07:00 - 23:00', 'wed': '07:00 - 23:00', 'thu': '07:00 - 23:00', 'fri': '07:00 - 23:00', 'sat': '07:00 - 23:00', 'sun': '07:00 - 23:00', 'hol': '07:00 - 23:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 83","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 83","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 83",Торговый центр  Аврора,Торговий центр Аврора,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.073938,47.885356,"{'mon': '08:00 - 22:00', 'tue': '08:00 - 22:00', 'wed': '08:00 - 22:00', 'thu': '08:00 - 22:00', 'fri': '08:00 - 22:00', 'sat': '08:00 - 22:00', 'sun': '08:00 - 22:00', 'hol': '08:00 - 22:00'}","Украина,область Запорожская,город Запорожье,улица Бородинская,дом 9/12","Україна,область Запорізька,місто Запоріжжя,вулиця Бородінська,будинок 9/12","Ukraine,region Zaporizka,city Zaporizhzhia,street Borodynska,building 9/12",Аптека,Аптека,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.054423,47.876404,"{'mon': '08:00 - 20:00', 'tue': '08:00 - 20:00', 'wed': '08:00 - 20:00', 'thu': '08:00 - 20:00', 'fri': '08:00 - 20:00', 'sat': '08:00 - 20:00', 'sun': '08:00 - 20:00', 'hol': '08:00 - 20:00'}","Украина,область Запорожская,город Запорожье,улица Счастливая,дом 7","Україна,область Запорізька,місто Запоріжжя,вулиця Щаслива,будинок 7","Ukraine,region Zaporizka,city Zaporizhzhia,street Shchaslyva,building 7",Аптека,Аптека,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.075385,47.885024,"{'mon': '00:00 - 23:59', 'tue': '00:00 - 23:59', 'wed': '00:00 - 23:59', 'thu': '00:00 - 23:59', 'fri': '00:00 - 23:59', 'sat': '00:00 - 23:59', 'sun': '00:00 - 23:59', 'hol': '00:00 - 23:59'}","Украина,область Запорожская,город Запорожье,улица Бородинская,дом 20б","Україна,область Запорізька,місто Запоріжжя,вулиця Бородінська,будинок 20б","Ukraine,area Zaporizka,city Zaporizhzhia,street Borodynska,building 20b",Супермаркет Амстор,супермаркет Амстор,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.122241,47.835651,"{'mon': '09:00 - 22:00', 'tue': '09:00 - 22:00', 'wed': '09:00 - 22:00', 'thu': '09:00 - 22:00', 'fri': '09:00 - 22:00', 'sat': '09:00 - 22:00', 'sun': '09:00 - 22:00', 'hol': '09:00 - 22:00'}","Украина,область Запорожская,город Запорожье,улица Победы,дом 64","Україна,область Запорізька,місто Запоріжжя,вулиця Перемоги,будинок 64","Ukraine,region Zaporizka,city Zaporizhzhia,street Peremohy,building 64",Супермаркет Амстор,супермаркет Амстор,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.186246,47.811197,"{'mon': '08:00 - 17:00', 'tue': '08:00 - 18:00', 'wed': '08:00 - 18:00', 'thu': '08:00 - 18:00', 'fri': '08:00 - 18:00', 'sat': '08:00 - 18:00', 'sun': '08:00 - 18:00', 'hol': '08:00 - 18:00'}","Украина,область Запорожская,город Запорожье,улица Анголенка,дом 15","Україна,область Запорізька,місто Запоріжжя,вулиця Анголенко,будинок 15","Ukraine,region Zaporizka,city Zaporizhzhia,street Anholenko,building 15","Магазин ""Лайф""","Магазин ""Лайф""",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.167651,47.823716,"{'mon': '08:00 - 20:00', 'tue': '08:00 - 20:00', 'wed': '08:00 - 20:00', 'thu': '08:00 - 20:00', 'fri': '08:00 - 20:00', 'sat': '08:00 - 20:00', 'sun': '08:00 - 20:00', 'hol': '08:00 - 20:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 83","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 83","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 83","Торговый центр ""Аврора""","Торговий центр ""Аврора""",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.146388,47.897397,"{'mon': '07:00 - 21:00', 'tue': '07:00 - 21:00', 'wed': '07:00 - 21:00', 'thu': '07:00 - 21:00', 'fri': '07:00 - 21:00', 'sat': '07:00 - 21:00', 'sun': '07:00 - 19:00', 'hol': '07:00 - 21:00'}","Украина,область Запорожская,город Запорожье,улица Теннисная,дом 13","Україна,область Запорізька,місто Запоріжжя,вулиця Тенісна,будинок 13","Ukraine,region Zaporizka,city Zaporizhzhia,street Tenisna,building 13",Магазин СССР,магазин СРСР,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.235043,47.851307,"{'mon': '08:00 - 22:00', 'tue': '08:00 - 22:00', 'wed': '08:00 - 22:00', 'thu': '08:00 - 22:00', 'fri': '08:00 - 22:00', 'sat': '08:00 - 22:00', 'sun': '08:00 - 22:00', 'hol': '08:00 - 22:00'}","Украина,область Запорожская,город Запорожье,улица Авраменко,дом 4б","Україна,область Запорізька,місто Запоріжжя,вулиця Авраменка,будинок 4б","Ukraine,region Zaporizka,city Zaporizhzhia,street Avramenka,building 4b","ТЦ ""Эконом Плюс""","ТЦ ""Економ Плюс""",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.180434,47.804062,"{'mon': '09:00 - 17:00', 'tue': '09:00 - 17:00', 'wed': '09:00 - 17:00', 'thu': '09:00 - 17:00', 'fri': '09:00 - 17:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,улица Сергея Серикова,дом 5","Україна,область Запорізька,місто Запоріжжя,вулиця Сергія Серікова,будинок 5","Ukraine,region Zaporizka,city Zaporizhzhia,street Sergiia Serikova,building 5",Центр практической наркологии,Центр практичної наркології,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.140347,47.837751,"{'mon': '00:00 - 23:59', 'tue': '00:00 - 23:59', 'wed': '00:00 - 23:59', 'thu': '00:00 - 23:59', 'fri': '00:00 - 23:59', 'sat': '00:00 - 23:59', 'sun': '00:00 - 23:59', 'hol': '00:00 - 23:59'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 109Б","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 109Б","Ukraine,area Zaporizka,city Zaporizhzhia,prospect Sobornii,building 109B",ТЦ Панорама,ТЦ Панорама,Запорожье,Запоріжжя,Zaporizhzhia
